League,Name,Position,Team,Age,Market Value
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Right Winger,N/A
Premier League,N/A,,N/A,Defensive Midfield,N/A
Premier League,N/A,,N/A,Right Winger,N/A
Premier League,N/A,,N/A,Attacking Midfield,N/A
Premier League,N/A,,N/A,Central Midfield,N/A
Premier League,N/A,,N/A,Attacking Midfield,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Central Midfield,N/A
Premier League,N/A,,N/A,Left Winger,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Defensive Midfield,N/A
Premier League,N/A,,N/A,Central Midfield,N/A
Premier League,N/A,,N/A,Defensive Midfield,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Left-Back,N/A
Premier League,N/A,,N/A,Right-Back,N/A
Premier League,N/A,,N/A,Central Midfield,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Left Winger,N/A
Premier League,N/A,,N/A,Defensive Midfield,N/A
Premier League,N/A,,N/A,Left Winger,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Attacking Midfield,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Left Winger,N/A
Premier League,N/A,,N/A,Left Winger,N/A
Premier League,N/A,,N/A,Right Winger,N/A
Premier League,N/A,,N/A,Attacking Midfield,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Central Midfield,N/A
Premier League,N/A,,N/A,Defensive Midfield,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Right Winger,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Right Winger,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Attacking Midfield,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Right-Back,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Right-Back,N/A
Premier League,N/A,,N/A,Right Winger,N/A
Premier League,N/A,,N/A,Left Winger,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Attacking Midfield,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Central Midfield,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Attacking Midfield,N/A
Premier League,N/A,,N/A,Right Winger,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Attacking Midfield,N/A
Premier League,N/A,,N/A,Right Winger,N/A
Premier League,N/A,,N/A,Right Winger,N/A
Premier League,N/A,,N/A,Attacking Midfield,N/A
Premier League,N/A,,N/A,Left Winger,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Right Winger,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Central Midfield,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Left Winger,N/A
Premier League,N/A,,N/A,Right-Back,N/A
Premier League,N/A,,N/A,Left-Back,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Goalkeeper,N/A
Premier League,N/A,,N/A,Central Midfield,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Left-Back,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Right-Back,N/A
Premier League,N/A,,N/A,Central Midfield,N/A
Premier League,N/A,,N/A,Defensive Midfield,N/A
Premier League,N/A,,N/A,Right Winger,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Right Winger,N/A
Premier League,N/A,,N/A,Centre-Forward,N/A
Premier League,N/A,,N/A,Central Midfield,N/A
Premier League,N/A,,N/A,Centre-Back,N/A
Premier League,N/A,,N/A,Defensive Midfield,N/A
Premier League,N/A,,N/A,Attacking Midfield,N/A
Premier League,N/A,,N/A,Defensive Midfield,N/A
