League,Name,Position,Team,Age,Market Value
Premier League,Erling Haaland,Centre-Forward,Manchester City,24,"€200,000,000"
Premier League,Bukayo Saka,Right Winger,Arsenal FC,23,"€150,000,000"
Premier League,Rodri,Defensive Midfield,Manchester City,28,"€130,000,000"
Premier League,Phil Foden,Right Winger,Manchester City,24,"€130,000,000"
Premier League,Cole Palmer,Attacking Midfield,Chelsea FC,22,"€130,000,000"
Premier League,Declan Rice,Central Midfield,Arsenal FC,26,"€110,000,000"
Premier League,Martin Ødegaard,Attacking Midfield,Arsenal FC,26,"€100,000,000"
Premier League,Alexander Isak,Centre-Forward,Newcastle United,25,"€100,000,000"
Premier League,Alexis Mac Allister,Central Midfield,Liverpool FC,26,"€90,000,000"
Premier League,Luis Díaz,Left Winger,Liverpool FC,28,"€85,000,000"
Premier League,William Saliba,Centre-Back,Arsenal FC,24,"€80,000,000"
Premier League,Dominik Szoboszlai,Central Midfield,Liverpool FC,24,"€80,000,000"
Premier League,Moisés Caicedo,Defensive Midfield,Chelsea FC,23,"€80,000,000"
Premier League,Bruno Guimarães,Defensive Midfield,Newcastle United,27,"€80,000,000"
Premier League,Josko Gvardiol,Left-Back,Manchester City,23,"€75,000,000"
Premier League,Omar Marmoush,Centre-Forward,Manchester City,26,"€75,000,000"
Premier League,Gabriel Magalhães,Centre-Back,Arsenal FC,27,"€75,000,000"
Premier League,Trent Alexander-Arnold,Right-Back,Liverpool FC,26,"€75,000,000"
Premier League,Enzo Fernández,Central Midfield,Chelsea FC,24,"€75,000,000"
Premier League,Rúben Dias,Centre-Back,Manchester City,27,"€70,000,000"
Premier League,Kai Havertz,Centre-Forward,Arsenal FC,25,"€70,000,000"
Premier League,Ryan Gravenberch,Defensive Midfield,Liverpool FC,22,"€70,000,000"
Premier League,Cody Gakpo,Left Winger,Liverpool FC,25,"€70,000,000"
Premier League,Anthony Gordon,Left Winger,Newcastle United,24,"€65,000,000"
Premier League,Ibrahima Konaté,Centre-Back,Liverpool FC,25,"€60,000,000"
Premier League,Dejan Kulusevski,Attacking Midfield,Tottenham Hotspur,24,"€60,000,000"
Premier League,Jérémy Doku,Left Winger,Manchester City,22,"€55,000,000"
Premier League,Savinho,Right Winger,Manchester City,21,"€55,000,000"
Premier League,Gabriel Martinelli,Left Winger,Arsenal FC,23,"€55,000,000"
Premier League,Ethan Nwaneri,Right Winger,Arsenal FC,18,"€55,000,000"
Premier League,Mohamed Salah,Right Winger,Liverpool FC,32,"€55,000,000"
Premier League,Levi Colwill,Centre-Back,Chelsea FC,22,"€55,000,000"
Premier League,Nicolas Jackson,Centre-Forward,Chelsea FC,23,"€55,000,000"
Premier League,Cristian Romero,Centre-Back,Tottenham Hotspur,26,"€55,000,000"
Premier League,Micky van de Ven,Centre-Back,Tottenham Hotspur,23,"€55,000,000"
Premier League,Leny Yoro,Centre-Back,Manchester United,19,"€55,000,000"
Premier League,Kobbie Mainoo,Central Midfield,Manchester United,19,"€55,000,000"
Premier League,Bruno Fernandes,Attacking Midfield,Manchester United,30,"€55,000,000"
Premier League,Amadou Onana,Defensive Midfield,Aston Villa,23,"€55,000,000"
Premier League,Murillo,Centre-Back,Nottingham Forest,22,"€55,000,000"
Premier League,Eberechi Eze,Attacking Midfield,Crystal Palace,26,"€55,000,000"
Premier League,Matheus Cunha,Centre-Forward,Wolverhampton Wanderers,25,"€55,000,000"
Premier League,Ben White,Right-Back,Arsenal FC,27,"€50,000,000"
Premier League,Jurrien Timber,Right-Back,Arsenal FC,23,"€50,000,000"
Premier League,Curtis Jones,Central Midfield,Liverpool FC,24,"€50,000,000"
Premier League,Darwin Núñez,Centre-Forward,Liverpool FC,25,"€50,000,000"
Premier League,Pedro Neto,Right Winger,Chelsea FC,25,"€50,000,000"
Premier League,James Maddison,Attacking Midfield,Tottenham Hotspur,28,"€50,000,000"
Premier League,Brennan Johnson,Right Winger,Tottenham Hotspur,23,"€50,000,000"
Premier League,Manuel Ugarte,Defensive Midfield,Manchester United,24,"€50,000,000"
Premier League,Morgan Rogers,Attacking Midfield,Aston Villa,22,"€50,000,000"
Premier League,Marcus Rashford,Left Winger,Aston Villa,27,"€50,000,000"
Premier League,Ollie Watkins,Centre-Forward,Aston Villa,29,"€50,000,000"
Premier League,João Pedro,Centre-Forward,Brighton & Hove Albion,23,"€50,000,000"
Premier League,Mohammed Kudus,Right Winger,West Ham United,24,"€50,000,000"
Premier League,Morgan Gibbs-White,Attacking Midfield,Nottingham Forest,25,"€50,000,000"
Premier League,Bryan Mbeumo,Right Winger,Brentford FC,25,"€50,000,000"
Premier League,Jarrad Branthwaite,Centre-Back,Everton FC,22,"€50,000,000"
Premier League,Bernardo Silva,Attacking Midfield,Manchester City,30,"€45,000,000"
Premier League,Diogo Jota,Centre-Forward,Liverpool FC,28,"€45,000,000"
Premier League,Christopher Nkunku,Centre-Forward,Chelsea FC,27,"€45,000,000"
Premier League,Destiny Udogie,Left-Back,Tottenham Hotspur,22,"€45,000,000"
Premier League,Pedro Porro,Right-Back,Tottenham Hotspur,25,"€45,000,000"
Premier League,Dominic Solanke,Centre-Forward,Tottenham Hotspur,27,"€45,000,000"
Premier League,Lisandro Martínez,Centre-Back,Manchester United,27,"€45,000,000"
Premier League,Alejandro Garnacho,Left Winger,Manchester United,20,"€45,000,000"
Premier League,Rasmus Højlund,Centre-Forward,Manchester United,22,"€45,000,000"
Premier League,Sven Botman,Centre-Back,Newcastle United,25,"€45,000,000"
Premier League,Sandro Tonali,Central Midfield,Newcastle United,24,"€45,000,000"
Premier League,Kaoru Mitoma,Left Winger,Brighton & Hove Albion,27,"€45,000,000"
Premier League,Jarrod Bowen,Right Winger,West Ham United,28,"€45,000,000"
Premier League,Marc Guéhi,Centre-Back,Crystal Palace,24,"€45,000,000"
Premier League,Dean Huijsen,Centre-Back,AFC Bournemouth,20,"€42,000,000"
Premier League,Rico Lewis,Right-Back,Manchester City,20,"€40,000,000"
Premier League,Nico González,Central Midfield,Manchester City,23,"€40,000,000"
Premier League,David Raya,Goalkeeper,Arsenal FC,29,"€40,000,000"
Premier League,Riccardo Calafiori,Left-Back,Arsenal FC,22,"€40,000,000"
Premier League,Gabriel Jesus,Centre-Forward,Arsenal FC,28,"€40,000,000"
Premier League,Roméo Lavia,Defensive Midfield,Chelsea FC,21,"€40,000,000"
Premier League,Noni Madueke,Right Winger,Chelsea FC,23,"€40,000,000"
Premier League,Pape Matar Sarr,Central Midfield,Tottenham Hotspur,22,"€40,000,000"
Premier League,Mathys Tel,Centre-Forward,Tottenham Hotspur,19,"€40,000,000"
Premier League,Matthijs de Ligt,Centre-Back,Manchester United,25,"€40,000,000"
Premier League,Amad Diallo,Right Winger,Manchester United,22,"€40,000,000"
Premier League,Joelinton,Central Midfield,Newcastle United,28,"€40,000,000"
Premier League,Pau Torres,Centre-Back,Aston Villa,28,"€40,000,000"
Premier League,Ilya Zabarnyi,Centre-Back,AFC Bournemouth,22,"€40,000,000"
Premier League,João Gomes,Central Midfield,Wolverhampton Wanderers,24,"€40,000,000"
Premier League,Boubacar Kamara,Defensive Midfield,Aston Villa,25,"€38,000,000"
Premier League,Abdukodir Khusanov,Centre-Back,Manchester City,21,"€35,000,000"
Premier League,Matheus Nunes,Central Midfield,Manchester City,26,"€35,000,000"
Premier League,Jack Grealish,Left Winger,Manchester City,29,"€35,000,000"
Premier League,Mikel Merino,Central Midfield,Arsenal FC,28,"€35,000,000"
Premier League,Harvey Elliott,Central Midfield,Liverpool FC,22,"€35,000,000"
Premier League,Malo Gusto,Right-Back,Chelsea FC,21,"€35,000,000"
Premier League,Guglielmo Vicario,Goalkeeper,Tottenham Hotspur,28,"€35,000,000"
Premier League,Archie Gray,Right-Back,Tottenham Hotspur,19,"€35,000,000"
Premier League,Diogo Dalot,Right-Back,Manchester United,26,"€35,000,000"
Premier League,Joshua Zirkzee,Centre-Forward,Manchester United,23,"€35,000,000"
Premier League,Tino Livramento,Right-Back,Newcastle United,22,"€35,000,000"
La Liga,Vinicius Junior,Left Winger,Real Madrid,24,"€200,000,000"
La Liga,Jude Bellingham,Attacking Midfield,Real Madrid,21,"€180,000,000"
La Liga,Lamine Yamal,Right Winger,FC Barcelona,17,"€180,000,000"
La Liga,Kylian Mbappé,Centre-Forward,Real Madrid,26,"€170,000,000"
La Liga,Federico Valverde,Central Midfield,Real Madrid,26,"€130,000,000"
La Liga,Pedri,Central Midfield,FC Barcelona,22,"€120,000,000"
La Liga,Rodrygo,Right Winger,Real Madrid,24,"€100,000,000"
La Liga,Julián Alvarez,Centre-Forward,Atlético de Madrid,25,"€90,000,000"
La Liga,Aurélien Tchouaméni,Defensive Midfield,Real Madrid,25,"€80,000,000"
La Liga,Raphinha,Left Winger,FC Barcelona,28,"€80,000,000"
La Liga,Eduardo Camavinga,Central Midfield,Real Madrid,22,"€70,000,000"
La Liga,Pau Cubarsí,Centre-Back,FC Barcelona,18,"€70,000,000"
La Liga,Gavi,Central Midfield,FC Barcelona,20,"€70,000,000"
La Liga,Nico Williams,Left Winger,Athletic Bilbao,22,"€70,000,000"
La Liga,Alejandro Balde,Left-Back,FC Barcelona,21,"€60,000,000"
La Liga,Jules Koundé,Right-Back,FC Barcelona,26,"€60,000,000"
La Liga,Dani Olmo,Attacking Midfield,FC Barcelona,26,"€60,000,000"
La Liga,Martín Zubimendi,Defensive Midfield,Real Sociedad,26,"€60,000,000"
La Liga,Oihan Sancet,Attacking Midfield,Athletic Bilbao,24,"€60,000,000"
La Liga,Ronald Araujo,Centre-Back,FC Barcelona,26,"€50,000,000"
La Liga,Fermín López,Attacking Midfield,FC Barcelona,21,"€50,000,000"
La Liga,Pablo Barrios,Central Midfield,Atlético de Madrid,21,"€50,000,000"
